<STATUS> at <TIME> (@100 ns),,push,pop,peek,clear,din,,full(exp:act),empty(exp:act),dout(exp:act)
SUCCESS at 26100 ns,,0,0,1,0,--------,,0:0,0:0,10000000:10000000
SUCCESS at 26200 ns,,1,0,0,0,10000001,,0:0,0:0,--------:10000001
SUCCESS at 26300 ns,,0,0,1,0,--------,,0:0,0:0,10000001:10000001
SUCCESS at 26400 ns,,1,0,0,0,10000010,,0:0,0:0,--------:10000010
SUCCESS at 26500 ns,,0,0,1,0,--------,,0:0,0:0,10000010:10000010
SUCCESS at 26600 ns,,1,0,0,0,10000011,,0:0,0:0,--------:10000011
SUCCESS at 26700 ns,,0,0,1,0,--------,,0:0,0:0,10000011:10000011
SUCCESS at 26800 ns,,1,0,0,0,10000100,,0:0,0:0,--------:10000100
SUCCESS at 26900 ns,,0,0,1,0,--------,,0:0,0:0,10000100:10000100
SUCCESS at 27000 ns,,1,0,0,0,10000101,,0:0,0:0,--------:10000101
SUCCESS at 27100 ns,,0,0,1,0,--------,,0:0,0:0,10000101:10000101
SUCCESS at 27200 ns,,1,0,0,0,10000110,,0:0,0:0,--------:10000110
SUCCESS at 27300 ns,,0,0,1,0,--------,,0:0,0:0,10000110:10000110
SUCCESS at 27400 ns,,1,0,0,0,10000111,,0:0,0:0,--------:10000111
SUCCESS at 27500 ns,,0,0,1,0,--------,,0:0,0:0,10000111:10000111
SUCCESS at 27600 ns,,1,0,0,0,10001000,,0:0,0:0,--------:10001000
SUCCESS at 27700 ns,,0,0,1,0,--------,,0:0,0:0,10001000:10001000
SUCCESS at 27800 ns,,1,0,0,0,10001001,,0:0,0:0,--------:10001001
SUCCESS at 27900 ns,,0,0,1,0,--------,,0:0,0:0,10001001:10001001
SUCCESS at 28000 ns,,1,0,0,0,10001010,,0:0,0:0,--------:10001010
SUCCESS at 28100 ns,,0,0,1,0,--------,,0:0,0:0,10001010:10001010
SUCCESS at 28200 ns,,1,0,0,0,10001011,,0:0,0:0,--------:10001011
SUCCESS at 28300 ns,,0,0,1,0,--------,,0:0,0:0,10001011:10001011
SUCCESS at 28400 ns,,1,0,0,0,10001100,,0:0,0:0,--------:10001100
SUCCESS at 28500 ns,,0,0,1,0,--------,,0:0,0:0,10001100:10001100
SUCCESS at 28600 ns,,1,0,0,0,10001101,,0:0,0:0,--------:10001101
SUCCESS at 28700 ns,,0,0,1,0,--------,,0:0,0:0,10001101:10001101
SUCCESS at 28800 ns,,1,0,0,0,10001110,,0:0,0:0,--------:10001110
SUCCESS at 28900 ns,,0,0,1,0,--------,,0:0,0:0,10001110:10001110
SUCCESS at 29000 ns,,1,0,0,0,10001111,,0:0,0:0,--------:10001111
SUCCESS at 29100 ns,,0,0,1,0,--------,,0:0,0:0,10001111:10001111
SUCCESS at 29200 ns,,1,0,0,0,10010000,,0:0,0:0,--------:10010000
SUCCESS at 29300 ns,,0,0,1,0,--------,,0:0,0:0,10010000:10010000
SUCCESS at 29400 ns,,1,0,0,0,10010001,,0:0,0:0,--------:10010001
SUCCESS at 29500 ns,,0,0,1,0,--------,,0:0,0:0,10010001:10010001
SUCCESS at 29600 ns,,1,0,0,0,10010010,,0:0,0:0,--------:10010010
SUCCESS at 29700 ns,,0,0,1,0,--------,,0:0,0:0,10010010:10010010
SUCCESS at 29800 ns,,1,0,0,0,10010011,,0:0,0:0,--------:10010011
SUCCESS at 29900 ns,,0,0,1,0,--------,,0:0,0:0,10010011:10010011
SUCCESS at 30000 ns,,1,0,0,0,10010100,,0:0,0:0,--------:10010100
SUCCESS at 30100 ns,,0,0,1,0,--------,,0:0,0:0,10010100:10010100
SUCCESS at 30200 ns,,1,0,0,0,10010101,,0:0,0:0,--------:10010101
SUCCESS at 30300 ns,,0,0,1,0,--------,,0:0,0:0,10010101:10010101
SUCCESS at 30400 ns,,1,0,0,0,10010110,,0:0,0:0,--------:10010110
SUCCESS at 30500 ns,,0,0,1,0,--------,,0:0,0:0,10010110:10010110
SUCCESS at 30600 ns,,1,0,0,0,10010111,,0:0,0:0,--------:10010111
SUCCESS at 30700 ns,,0,0,1,0,--------,,0:0,0:0,10010111:10010111
SUCCESS at 30800 ns,,1,0,0,0,10011000,,0:0,0:0,--------:10011000
SUCCESS at 30900 ns,,0,0,1,0,--------,,0:0,0:0,10011000:10011000
SUCCESS at 31000 ns,,1,0,0,0,10011001,,0:0,0:0,--------:10011001
SUCCESS at 31100 ns,,0,0,1,0,--------,,0:0,0:0,10011001:10011001
SUCCESS at 31200 ns,,1,0,0,0,10011010,,0:0,0:0,--------:10011010
SUCCESS at 31300 ns,,0,0,1,0,--------,,0:0,0:0,10011010:10011010
SUCCESS at 31400 ns,,1,0,0,0,10011011,,0:0,0:0,--------:10011011
SUCCESS at 31500 ns,,0,0,1,0,--------,,0:0,0:0,10011011:10011011
SUCCESS at 31600 ns,,1,0,0,0,10011100,,0:0,0:0,--------:10011100
SUCCESS at 31700 ns,,0,0,1,0,--------,,0:0,0:0,10011100:10011100
SUCCESS at 31800 ns,,1,0,0,0,10011101,,0:0,0:0,--------:10011101
